,Title,Location,Company,Salary
109,Operations Controller,Edinburgh,Ventient Energy,
110,"Aladdin Business, Client Services Analyst",,BlackRock,
111,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
112,Head of Data Management / Data Management Director,,People's Energy,
113,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
114,"Business/Data Analyst, Associate",,BlackRock,
115,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
116,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
117,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
118,"Analyst, Collateral Management - Clearing",,BlackRock,
119,"Aladdin Business, Client Services Analyst",,BlackRock,
120,Migrations Analyst Developer,Edinburgh,FNZ,
121,QC Microbiology Technician,Edinburgh,Quotient Limited,
122,Mass Spectrometry Analyst,Edinburgh,University of Edinburgh,
123,Finance Reporting Analyst,Edinburgh,Trainline,
124,Graduate Test Analyst - Migrations,Edinburgh,FNZ,
125,Credit Card Analyst -12 month secondment,Edinburgh,Tesco Bank,
126,Data Analytics Manager,Edinburgh,Quotient Limited,
127,Seeking Financial Markets Analyst/Editor,Edinburgh,TradeTheNews.com,
128,Senior Test Engineer (x5),Edinburgh,Tesco Bank,
129,Senior Analyst- Data Management,Edinburgh,Head Resourcing Limited,"£38,000 a year"
130,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
131,Head of Data Management / Data Management Director,,People's Energy,
132,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
133,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
134,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
135,"Aladdin Business, Client Services Analyst",,BlackRock,
136,"Business/Data Analyst, Associate",,BlackRock,
137,"Analyst, Collateral Management - Clearing",,BlackRock,
138,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
139,Higher Apprenticeships - Infrastructure - Edinburgh,Edinburgh,Arup,
140,IT Business Analyst,Edinburgh,Computershare,
141,Digital Analyst / SEO Tech,Edinburgh EH2,8 Million Stories (8MS.com),
142,Data Quality Issues Lead,Edinburgh,HSBC,
143,Investment Accounting Analyst,Edinburgh,Head Resourcing Limited,
144,Business Analyst,Edinburgh EH3,Zonal Retail Data Systems Limited,
145,Process and Readiness Analyst - IFRS17,Edinburgh,Core-Asset Consulting,
146,Data Engineer - Edinburgh,Edinburgh,Datatech Analytics,
147,Business Analyst - Finance Transformation,Edinburgh,Sanderson Recruitment Plc,£425 - £450 a week
148,2 x IT Business Analysts,Edinburgh,Head Resourcing Limited,£400 - £425 a day
149,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
150,Head of Data Management / Data Management Director,,People's Energy,
151,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
152,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
153,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
154,"Aladdin Business, Client Services Analyst",,BlackRock,
155,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
156,"Analyst, Collateral Management - Clearing",,BlackRock,
157,Head of Data Management / Data Management Director,,People's Energy,
158,"Lead Analyst, Shareholder Services (Client Documentation)",Edinburgh,BNY Mellon,
159,Head of Data Management / Data Management Director,Edinburgh,People's Energy,
160,Cyber Defence Analyst,Edinburgh,PwC,
161,Data Governance Consultant,Edinburgh,Search Consultancy,
162,Business Finance Analyst,Edinburgh,Phoenix Group Holdings,
163,Client Communications Analyst,Edinburgh,Core-Asset Consulting,
164,Technical Business Analyst,Edinburgh,INOV8 Consulting Ltd,"£25,000 - £40,000 a year"
165,Risk Committee Engagement & Reporting Analyst/Consultant,Edinburgh,Standard Life Aberdeen,
166,Electrical and Electronics Engineering Intern,Edinburgh EH3,GE Digital,
167,Business Application Support,Edinburgh EH12,JP Morgan Chase,
168,"Business/Data Analyst, Associate",,BlackRock,
169,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
170,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
171,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
172,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
173,"Aladdin Business, Client Services Analyst",,BlackRock,
174,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
175,"Analyst, Collateral Management - Clearing",,BlackRock,
176,Head of Data Management / Data Management Director,,People's Energy,
177,Pensions Analyst Edinburgh,Edinburgh,Profile Search and Selection Ltd,"£25,000 - £33,000 a year"
178,UX Consultant,Edinburgh,Craneware,
179,Finance Reporting Analyst - Team Leader,Edinburgh,Trainline,
180,Application Support Analyst,Edinburgh,Head Resourcing Limited,"£25,000 - £30,000 a year"
181,Market Analyst,Edinburgh,Scientific People,
182,Data Scientist,Edinburgh,Quintex Consulting,
183,Graduate IT Business System Functional Analyst,Edinburgh,Leonardo,
184,Consultant - D&A Remediation team,Edinburgh EH14,Sopra Steria,"£35,000 a year"
185,Invoicing Specialist,Edinburgh,Cloudreach,
186,PPC Marketing Junior Associate (Edinburgh - April/Summer Sta...,Edinburgh EH3,Merkle Periscopix,
187,"Business/Data Analyst, Associate",,BlackRock,
188,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
189,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
190,"Business/Data Analyst, Associate",,BlackRock,
191,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
192,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
193,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
194,Analytical Senior Scientist,Edinburgh,Johnson Matthey,
195,Web Analyst,Edinburgh,Head Resourcing Limited,
196,KYC Analyst,Edinburgh EH12,Blue Arrow,£17 an hour
197,Senior Deal Desk Analyst,Edinburgh,UserTesting,
198,Systems Analyst,Edinburgh,Core-Asset Consulting,
199,Senior Business Analyst,Edinburgh,Amazon UK Services Ltd.,
200,Credit Risk Systems & Infrastructure Senior Analyst,Edinburgh,Sainsburys,
201,Migrations Test Lead,Edinburgh,FNZ,
202,Technical Business Analyst - Identity & Access Management –...,Edinburgh EH3,BlackRock,
203,Business Analyst – Financial Services –Edinburgh,Edinburgh,Hydrogen Group,£395 - £425 a day
204,"Analyst, Collateral Management - Clearing",,BlackRock,
205,"Aladdin Business, Client Services Analyst",,BlackRock,
206,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
207,Head of Data Management / Data Management Director,,People's Energy,
208,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
209,"Business/Data Analyst, Associate",,BlackRock,
210,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
211,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
212,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
213,Regulatory Costs Calculations and Project Management Analyst,Edinburgh EH3,BlackRock,
214,Strategic Product Manager,Edinburgh EH3,Zonal Retail Data Systems Limited,
215,Business Analyst,Edinburgh,HSBC,
216,"Business Analyst, Capital Markets (Edinburgh)",Edinburgh,GreySpark Partners,
217,Senior Credit Risk Analyst,Edinburgh,Sainsburys,
218,BI Developer,Edinburgh,Wood Mackenzie,
219,Business Systems - Senior IT Support Consultant - Edinburgh...,Edinburgh,Insights,
220,Senior IT Business Analyst,Edinburgh,Computershare,
221,Systems Analyst (Investments),Edinburgh,Core-Asset Consulting,
222,Business Analyst/EUC Developer,Edinburgh,GCS Recruitment Specialists Ltd,"£80,000 - £90,000 a year"
223,"Analyst, Collateral Management - Clearing",,BlackRock,
224,"Aladdin Business, Client Services Analyst",,BlackRock,
225,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
226,Head of Data Management / Data Management Director,,People's Energy,
227,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
228,"Business/Data Analyst, Associate",,BlackRock,
229,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
230,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
231,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
232,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
233,Head of Data Management / Data Management Director,,People's Energy,
234,Markit EDM Business Analyst,Edinburgh,Red10,
235,Business Analyst,Edinburgh,Hydrogen Group,£400 - £425 a week
236,Senior Business Analyst – Financial Services,Edinburgh,Hydrogen Group,£450 - £500 a day
237,ESG Business Manager - Edinburgh or London,Edinburgh,Core-Asset Consulting,
238,Business Analyst – Contract – Scotland,Edinburgh,Hydrogen Group,£365 - £400 a day
239,Business Analyst – Financial Services – Risk Transformation...,Edinburgh,Hydrogen Group,£400 - £480 a week
240,PeopleSoft Developer,Edinburgh,Computershare,
241,Instructor,Edinburgh,CodeClan,
242,"Business Analyst (Prince2, IT, Projects, HR)",Edinburgh,Ampersand Consulting,
243,"Technical Support Analyst, Aladdin Product Group",Edinburgh EH3,BlackRock,
244,"Aladdin Business, Client Services Analyst",,BlackRock,
245,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
246,"Analyst, Collateral Management - Clearing",,BlackRock,
247,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
248,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
249,"Business/Data Analyst, Associate",,BlackRock,
250,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
251,"Analyst, Collateral Management - Clearing",,BlackRock,
252,Database Analyst & Developer,Edinburgh,Head Resourcing Limited,
253,Senior Design Engineer,Edinburgh,Tesco Bank,
254,Finance Business Analyst– Financial Services,Edinburgh,Hydrogen Group,£400 - £500 a week
255,MI Team Lead,Edinburgh,Michael Page UK,
256,SAS Developer / Consultant,Edinburgh,INOV8 Consulting Ltd,"£25,000 - £42,000 a year"
257,Finance Analyst,Edinburgh,Michael Page UK,"£30,000 - £32,500 a year"
258,Bulk Analyst/Administrator Part,Midlothian,Higgins Recruitment Limited,
259,C# Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
260,Finance Analyst,Edinburgh,Search Consultancy,
261,Senior Test Analyst,Edinburgh,FPSG,
262,"Aladdin Business, Client Services Analyst",,BlackRock,
263,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
264,Head of Data Management / Data Management Director,,People's Energy,
265,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
266,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
267,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
268,"Business/Data Analyst, Associate",,BlackRock,
269,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
270,"Analyst, Collateral Management - Clearing",,BlackRock,
271,"Aladdin Business, Client Services Analyst",,BlackRock,
272,Assistant Manager - Model Governance,Edinburgh,Sanderson Recruitment Plc,
273,Business Analyst,Edinburgh,Covetrus,
274,"Senior HR Partner, Reward & Recognition",Edinburgh,University of Edinburgh,
275,Software Developer,Edinburgh,Avaloq,
276,Senior Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
277,Insight & Analytics Manager,Edinburgh,Datatech Analytics,
278,Senior Technical Support Analyst,Edinburgh EH2,Lorien Resourcing,"£40,000 a year"
279,EU Cost Control & Reporting Manager (with basic SQL level),Edinburgh,Amazon UK Services Ltd.,
280,Senior Business Analyst – Edinburgh – Financial Services – C...,Edinburgh,Hydrogen Group,£500 - £530 a week
281,Onsite IT Service Delivery Manager,Edinburgh EH1,Quorum Network Resources,
282,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
283,Head of Data Management / Data Management Director,,People's Energy,
284,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
285,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
286,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
287,"Business/Data Analyst, Associate",,BlackRock,
288,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
289,"Analyst, Collateral Management - Clearing",,BlackRock,
290,"Aladdin Business, Client Services Analyst",,BlackRock,
291,IT operations and improvement manager,Edinburgh,Nucleus Financial Group,
292,Finance Transformation - Business Analyst/Project Manager,Edinburgh,CAPCO,
293,Wholesale Credit Risk Stress Testing Manager,Edinburgh,HSBC,
294,IT Service Delivery Manager,Edinburgh,Gallagher Scott,"£38,000 - £45,000 a year"
295,BI Developer,Edinburgh,Head Resourcing Limited,
296,IT operations and improvement manager,Edinburgh,Nucleus Financial,
297,Senior Software Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
298,Senior UX/UI Designer,Edinburgh,OLIVER,
299,Senior Front End Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
300,Scientific Software Developer,Edinburgh,System Recruitment,"£45,000 - £55,000 a year"
301,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
302,Head of Data Management / Data Management Director,,People's Energy,
303,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
304,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
305,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
306,"Business/Data Analyst, Associate",,BlackRock,
307,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
308,"Analyst, Collateral Management - Clearing",,BlackRock,
309,"Aladdin Business, Client Services Analyst",,BlackRock,
310,Cyber Security Engineer (Database Monitoring),Edinburgh,Adarma,
311,Senior PHP Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
312,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
313,Head of Data Management / Data Management Director,,People's Energy,
314,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
315,"Technical Support Analyst, Aladdin Product Group",,BlackRock,
316,Systems Analyst,,Core-Asset Consulting,
317,Technical Business Analyst - Identity & Access Management –...,,BlackRock,
318,Quantitative Analyst,,Core-Asset Consulting,
319,BMC Remedy Support Analyst,,CGI,
320,SYSTEMS ANALYST (INVESTMENTS),,Core-Asset Consulting,
321,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
322,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
323,"Business/Data Analyst, Associate",,BlackRock,
324,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
325,"Analyst, Collateral Management - Clearing",,BlackRock,
326,Wholesale Credit Risk Stress Testing Manager,Edinburgh,HSBC,
327,IT Service Delivery Manager,Edinburgh,Gallagher Scott,"£38,000 - £45,000 a year"
328,BI Developer,Edinburgh,Head Resourcing Limited,
329,IT operations and improvement manager,Edinburgh,Nucleus Financial,
330,Senior Software Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
331,Senior UX/UI Designer,Edinburgh,OLIVER,
332,Senior Front End Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
333,Scientific Software Developer,Edinburgh,System Recruitment,"£45,000 - £55,000 a year"
334,Cyber Security Engineer (Database Monitoring),Edinburgh,Adarma,
335,Senior PHP Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
336,"Aladdin Business, Client Services Analyst",,BlackRock,
337,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
338,Head of Data Management / Data Management Director,,People's Energy,
339,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
340,Data Management Analyst,,Outsource UK,"£38,000 - £48,000 a year"
341,Digital Analyst / SEO Tech,,8 Million Stories (8MS.com),
342,"Business/Data Analyst, Associate",,BlackRock,
343,Interim Risk Analyst - Fixed term contract,,TSB,"£25,000 - £29,460 a year"
344,"Analyst, Collateral Management - Clearing",,BlackRock,
345,Wholesale Credit Risk Stress Testing Manager,Edinburgh,HSBC,
346,IT Service Delivery Manager,Edinburgh,Gallagher Scott,"£38,000 - £45,000 a year"
347,BI Developer,Edinburgh,Head Resourcing Limited,
348,IT operations and improvement manager,Edinburgh,Nucleus Financial,
349,Senior Software Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
350,Senior UX/UI Designer,Edinburgh,OLIVER,
351,Senior Front End Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
352,Scientific Software Developer,Edinburgh,System Recruitment,"£45,000 - £55,000 a year"
353,Cyber Security Engineer (Database Monitoring),Edinburgh,Adarma,
354,Senior PHP Developer,Edinburgh EH3,Zonal Retail Data Systems Limited,
355,"Aladdin Business, Client Services Analyst",,BlackRock,
356,Regulatory Costs Calculations and Project Management Analyst,,BlackRock,
357,Head of Data Management / Data Management Director,,People's Energy,
358,DATA GOVERNANCE ANALYST,,Core-Asset Consulting,
359,Test Analyst,,Legal Marketing Services,"£25,000 - £30,000 a year"
360,Business Analyst /ERP BA- Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year"
361,Data Engineer (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year"
362,Data Analyst - Liverpool,,Senitor Associates,"£30,000 - £40,000 a year"
363,Data Analyst,Liverpool,Shop Direct,
364,Information Analyst,Liverpool L13,Liverpool University Hospitals NHS Foundation Trus...,"£24,214 - £30,112 a year"
365,Data Analyst,Liverpool,Grayce,
366,Data Analyst,Liverpool,M.J. Quinn Integrated Services Ltd,
367,Data Analyst,Speke,Professional Music Technology,
368,Project Analyst,Liverpool,GRAYCE,
369,People Data Analyst,Liverpool,The Lead Agency,
370,Specialist Intelligence Analyst,Liverpool L1,NHS Liverpool Clinical Commissioning Group,"£30,401 - £37,267 a year"
371,QC Analyst (Level 2),Liverpool,Seqirus A CSL Company,
372,Operations Analyst,Liverpool,Royal Sun Alliance,
373,Business Analyst . ERP - Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year"
374,BMC Remedy Support Analyst,,CGI,
375,Financial Crime Analyst,,Cashplus,
376,Data Architect (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year"
377,Forecasting Business Analyst,,QVC,
378,Test Analyst,,Legal Marketing Services,"£25,000 - £30,000 a year"
379,Data Analyst - Liverpool,,Senitor Associates,"£30,000 - £40,000 a year"
380,Forecasting Business Analyst,,QVC,
381,Data Engineer (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year"
382,Project Analyst,Knowsley,Fusion21 Ltd,"£20,000 - £25,000 a year"
383,Project Analyst,Merseyside,Castlefield Recruitment,"£20,000 - £25,000 a year"
384,Risk Assurance Fraud Analyst,Liverpool,SportPesa,
385,MI Data Analyst Administrator,Liverpool,Frank Wills Recruitment Ltd,
386,Graduate Data Scientist,Birkenhead,Crowder Consulting,"£20,000 - £25,000 a year"
387,Business Analyst,Liverpool,Grayce,
388,Marketing Data Analyst,Liverpool,Agility Resourcing,"£20,000 a year"
389,Management Information Analyst,Liverpool,telent,
390,Graduate Project Engineer,Birkenhead,Crowder Consulting,"£21,000 a year"
391,Web Analyst,Liverpool L33,Matalan,
392,Business Analyst . ERP - Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year"
393,Financial Crime Analyst,,Cashplus,
394,Data Scientist / Software Developer,,Tessella Ltd,"£25,000 - £35,000 a year"
395,Data Architect (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year"
396,Business Analyst /ERP BA- Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year"
397,Data Analyst - Liverpool,,Senitor Associates,"£30,000 - £40,000 a year"
398,Test Analyst,,Legal Marketing Services,"£25,000 - £30,000 a year"
399,Forecasting Business Analyst,,QVC,
400,Data Engineer (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year"
401,Business Analyst /ERP BA- Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year"
402,Business Analyst . ERP - Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year"
403,MI Analyst,Liverpool L33,Serco Group,"£40,000 a year"
404,Reconciliations Analyst,Liverpool,Royal Sun Alliance,
405,Senior Data Analyst,Liverpool,Amaze,
406,Forecasting Business Analyst,Liverpool,QVC,
407,Data Analyst,Liverpool,ShortList,"£40,000 a year"
408,Principal Data Engineer,Liverpool,Shop Direct,
409,"Lead Analyst, Business Process Improvement/Best Practices",Liverpool,BNY Mellon,
410,Principal Information Analyst,Wirral,The Clatterbridge Cancer Centre NHS Foundation Tru...,"£37,570 - £43,772 a year"
411,Senior Data Engineer,Liverpool,Shop Direct,
412,Customer Insight Analyst,Liverpool L33,Matalan,
413,Financial Crime Analyst,,Cashplus,
414,Data Scientist / Software Developer,,Tessella Ltd,"£25,000 - £35,000 a year"
415,Data Architect (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year"
416,Data Analyst - Liverpool,,Senitor Associates,"£30,000 - £40,000 a year"
417,Test Analyst,,Legal Marketing Services,"£25,000 - £30,000 a year"
418,Forecasting Business Analyst,,QVC,
