,Title,Summary,Location,Company,Salary
78,Senior Automation Test Analyst,Set up and maintain CI environments and data pools.Senior Automation Test Analyst - (20003).There has never been a more exciting time to join GBST as we…,Brisbane QLD,GBST,
79,Marketing Analyst,"As a Marketing Analytics Specialist, you will analyse and interpret digital-marketing data, implement precise audience segmentation, adapt and grow the…",Brisbane QLD,Jenny Barbour,
80,Commercial Analyst,"Analysis of data around sales.Work for one of Brisbane's largests ASX listed business.Good culture and career opportunities.Up to $100,000 package.",Brisbane QLD,Michael Page,
81,Senior Interface Analyst – Temp (12 mo) possibility to exten...,"Demonstrated knowledge of complex laboratory messaging data workflow.Demonstrated advanced skill in analysis, data mapping, and troubleshooting skills.",Brisbane QLD,Sunquest International - Australia,
82,Principal BI Analyst - 12 month contract++,Experience with Agile methodologies for the development and implementation of large data transformation programs is desirable.5 year program of work.,Brisbane QLD,Michael Page,$120 an hour
83,Application Monitoring Analyst,"Working constantly on producing data and insights which show scope of improvements in monitoring system.My client represents the connected world, offering…",Brisbane Central Business District QLD,en world Australia,
84,Intelligence Analyst,Advanced technical and analytical skills to collate and analyse large data sets.The Intelligence Group is to conduct coordinated proactive and reactive…,Brisbane QLD,Hudson,
85,Business Analyst,"Initiate and actively participate in the improvement of methods and processes, by helping to provide data, proposing ideas and collaborating, so as to improve…",Brisbane QLD,Dean & Ling Pty Ltd,"$90,000 - $100,000 a year"
86,SALES ANALYST,"Attention to detail and the ability to identify data patterns.Through the development of regular structured reporting, the Sales Analyst creates visibility of…",Gold Coast QLD,Boardriders,
87,Business Analyst,"Demonstrated experience working on complex projects with system consolidation, significant change management and data migration activities;",Brisbane QLD,u&u Recruitment Partners,
88,Senior Finance Analyst (6months Fixed Term Contract),"Responsible for the Forecast and Flash Cube maintenance, validation of data, communication to the Asia Pacific region.",Brisbane QLD,CBRE Asia Pacific,
89,UX/UI Designer - Global entertainment brand,True hybrid UX/UI Design role at a global company.Michael Page Digital have partnered with one of Brisbane's household names.,Brisbane QLD,Michael Page,
90,ICT Strategy Business Analyst,Ability to identify trends and make recommendations based on vague or incomplete data;Permanent opportunity – Good work life balance.,Brisbane Central Business District QLD,u&u Recruitment Partners,"$120,000 - $130,000 a year"
91,Senior Interface Analyst – Temp (12 mo) possibility to exten...,"Demonstrated knowledge of complex laboratory messaging data workflow.Demonstrated advanced skill in analysis, data mapping, and troubleshooting skills.",Brisbane QLD,Sunquest,
92,Business Analyst,"Strong business process modelling (BPMN, Visio), As-Is/To-Be process mapping and data models;The business analyst will need to define and document business…",North Lakes QLD,Auto & General Insurance,
93,Business Intelligence Analyst - Power BI,Analyse data and data relationships to develop solutions to reporting requirements.The position is required to liaise with clients to determine their reporting…,Brisbane QLD,Talent International,"$100,000 a year"
94,Senior Pricing Analyst,"As part of Pricing you will work closely with a small team of Actuaries and other data scientists to perform leading edge, high-quality analytics across the…",Toowong QLD,Auto & General Insurance,
95,Insights and Reporting Manager,"Lead, coach, and mentor a small team of reporting analysts and data analysts.Ensure the accuracy of reported information and work with data stewards and others…",Brisbane QLD,HUMANISED GROUP,
96,Insights Lead,"As part of the People Reporting and Insights team, you will collaborate closely with a team of experienced people data analysts/scientists.",Eight Mile Plains QLD,Woolworths Group,
97,eDiscovery - Senior Consultant/Consultant,"Ability to assist in collecting data in a forensically sound manner.Ability to prepare and analyse data in Relativity, Nuix, or similar tools.",Brisbane QLD,Clayton Utz,
98,Business Systems Analyst,"Exceptional excel & data manipulation skills.Village Roadshow Ltd is a leading entertainment company, offering a multitude of exciting employment opportunities…",Gold Coast QLD,Village Roadshow Limited,
99,Business Analyst,Work closely with data analysts to ensure alignment on deliverables and execution in line with project timelines.,Brisbane QLD,Talent International,$580 - $640 a day
100,Systems Accountant / Analyst,Data analysis and ensuring accuracy of data;This customer focussed organisation in the financial services sector is keen to further develop their external…,Brisbane Central Business District QLD,u&u Recruitment Partners,"$110,000 - $120,000 a year"
101,Process Analyst,"Advanced analytical and business process documentation skills with the ability to collect, analyse data and deliver end to end and functional process…",Brisbane QLD,Adaps,
102,Reporting Analyst/Developer,"Experience in data visualisation tools such as TiBCO Spotfire Analytics;Experience with Microsoft SQL Server, DML, TSQL, CDC, MDS, SSRS and SSIS;",Brisbane QLD,Adaps,
103,SAP Security Analyst,Provide updated user listings periodically for review or upon request by management or data owners.Our client is seeking an SAP Security Analyst to join their…,Brisbane Central Business District QLD,Peoplebank,
104,Project Business Analyst,"Investigate corporate data requirements, and apply data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data…",Brisbane QLD,Adaps,
105,Network Intelligence Business and Systems Analyst,Assist in the delineating of system and data functions within Network Asset Systems section; and.Responsible for the documentation and transformation of…,Brisbane QLD,Adaps,
106,Technical Data Tester x 2,Writing complex SQL queries using HANA Studio to test migrated and converted data in SAP;Ability to write SQL for technical database level testing of converted…,Brisbane QLD,u&u Recruitment Partners,
107,Senior Business Analyst,Experience establishing and maintaining data definition and metadata management systems;Experience developing reporting standards and practises for data…,Brisbane QLD,u&u Recruitment Partners,
108,Business Analyst,"They are seeking a skilled business analyst to leverage the initation of this project, focusing on scoping and documenting associated requirements.",Brisbane QLD,Hudson,$700 - $716 a day
109,Business Intelligence Analyst,Exceptional understanding of how to present data including use of user interface design principles.Expert experiencing in business intelligence and data…,Brisbane Central Business District QLD,Peoplebank,
110,Senior Business Analyst,Running the data (experience dealing with high volume data sets).Exposure to a data room.6 Month Fixed Term Contract.6 month fixed term contract.,Brisbane QLD,Michael Page,
111,Senior Business Analyst,Must have demonstrable business/system analyst skills and experience (5+ years).Represent the department and work with vendor development teams and other…,Brisbane Central Business District QLD,Peoplebank,
112,Change Analyst,Ability to extract and analyse data and provide sound recommendations and advice.Change Analyst to support the implementation of change activities across a…,Brisbane Central Business District QLD,Peoplebank,
113,SAP Hana Test Analyst,"Plan, develop/record and execute automated test cases and scripts and associated data preparation scripts;Demonstrated high level of expertise and experience…",Brisbane Central Business District QLD,Peoplebank,
114,Solutions Business Analyst,"POPULATE LIST if ($(""ul[data-saved-jobs-list]"").length){ if (items.length > 0){ $(""ul[data-saved-jobs-list]"").html(items.join( """" )); }; $(""span[data-saved-jobs…",Brisbane QLD,Talent International,$600 - $700 a day
115,Financial Planning & Analysis Manager,"Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics that support key business decisions and…",Eagle Farm QLD,Excelerate Brands,
116,IT Business Analyst,"Investigate corporate data requirements, and apply data analysis, data modelling and quality assurance techniques, to establish, modify or maintain data…",Brisbane QLD,Adaps,
117,Financial Analyst,This is a newly created position to engage with operational leaders in the business to develop robust budgets and forecasts for different business units and…,Narangba QLD,Michael Page,
118,Senior Test Analyst - BI Specialist,"Having the ability to analyse data sources, perform data modelling and cleansing will be highly important as well as having working knowledge of general systems…",Brisbane Central Business District QLD,Ambition,$550 - $600 a day
119,Senior Business Analyst - Legacy Systems,Maintaining data definition and metadata management systems.Developing reporting standards and practises for data collection.Take the next step - APPLY NOW!,Brisbane Central Business District QLD,Peoplebank,
120,Infrastructure Engineer,"The engineer will work in a small team consisting of other engineers, data analysts and service desk staff under the direction of the Manager, Technology…",Brisbane QLD,Chandler Macleod,
121,Digital Recruitment Specialist,"From big brands to next-generation unicorns, we?re dedicated to guiding clients and candidates to the next stop on their digital recruitment journey.",Brisbane QLD,Paxus,
122,Quality Engineer /Sr. Quality Engineer(Automation),"Identify environment and data requirements.Influence key stake holders in technology from the head of, delivery teams, business analysts, product owners and…",Brisbane QLD,Adaps,
123,Project Technical Analyst,Responsible for the documentation and transformation of business requirements including data collection to deliver analysis and problem resolution.,Brisbane QLD,Adaps,
124,Technical Business Analyst/Tester,Experience with reporting and querying data for accuracy.Drive data migration strategy and assurance for projects and initiatives.,Brisbane QLD,Davidson Recruitment,
125,TECHNICAL BUSINESS ANALYST,ASG are a leading IT solutions provider with global reach.Our capabilities span across complete digital transformation.Do you own your own outcomes?,Brisbane QLD,ASG Group,
126,SAP Senior Test Analyst,"Plan, develop/record and execute automated test cases and scripts and associated data preparation scripts;Assist test analysts to complete system, integration…",Brisbane QLD,Paxus,
127,Senior SAP Test Analyst,"Plan, develop / record and execute automated test cases and scripts and associated data preparation scripts;Demonstrated high level of expertise and experience…",Brisbane QLD,u&u Recruitment Partners,
128,Senior Test Analyst,Determine and coordinate test data and environment requirements and ensure the required test data and environments are setup for testing.,Brisbane QLD,Hudson,
129,Business Analyst / Manager national role,Researching and assisting in the collation of financial and business data.Excellent analytical and financial skills having a proven ability to work with large…,Brisbane QLD,NAYLER,"$90,000 - $120,000 a year"
130,Senior UX Designer,"Working with data driven insights.Experience collaborating closely with people of different skillsets (UI designers, copywriters, developers, business analysts…",Sunshine Coast QLD,Youi Pty Ltd,
131,"Full-stack Developer - API, Node, C#","Technology and data is at their core, and as they continue to modernise their suite of operational applications, they are looking to hire a skilled Full-stack…",Brisbane QLD,Michael Page,$750 - $850 a day
132,Quality Engineer /Sr. Engineer(Automation/Performance),"Identify environment and data requirements.Influence key stake holders in technology from the head of, delivery teams, business analysts, product owners and…",Brisbane QLD,Adaps,
133,Master Scheduler,"Responsible for the management of assigned schedules, validating the project managers input to schedules and data integrity, and reviewing schedule for quality…",Brisbane QLD,Adaps,
134,Senior Business Analyst,Gathering data and identifying potential issues with the project;Assisting the business in streamlining grants administration processes and collect performance…,Brisbane Central Business District QLD,HAYS,
135,Workforce Planning Specialist,Collaborate with the systems and reporting analyst to capture necessary data;Identify opportunities for improving productivity / revenue by analysing data;,Brisbane Central Business District QLD,u&u Recruitment Partners,"$100,000 - $110,000 a year"
136,Senior Business Analyst,"They are seeking a skilled business analyst to leverage successful solution implementation.5+ years business/system analyst skills and experience, ideally…",Brisbane QLD,Hudson,
137,Web Developer,Construct a component that can be used for exploiting data from external sources.Permanent opportunity for a Drupal Developer to join our client based in…,Brisbane Central Business District QLD,HAYS,
138,Business Analyst,Due to the size and scope of the program they have an immediate requirement for an experienced business analyst.What you'll need to succeed.,Gold Coast QLD,HAYS,
139,Principal Business Analyst | 12 month fixed term contract,Generous Benefits on offer | Interesting technical and data-focused role.Key initiatives include identity and access management and data loss prevention.,Brisbane QLD,Hudson,"$132,310 - $138,611 a year"
140,Junior Data Analyst,If you are about to graduate or are a recent Business (with accounting systems exposure) or IT graduate (information systems graduate) and would give everything…,Eight Mile Plains QLD,Ironbark,
141,Talent Acquisition Data & Insights Analyst,"Gather and analyse data, using advanced statistical models and continuously learning about new ways to mine data and distil meaning out of the increasing amount…",Brisbane QLD,Anglo American,
142,BI Analyst,Troubleshoot and resolve issues with reports or data feeds.Analyse data and reports to provide insights to the business.On-site barista during business hours.,Bowen Hills QLD,GVC Australia,"$75,000 - $80,000 a year"
143,Data Warehouse Business Analyst,"I am looking for a strong Technical Business Analyst with experience of working in Data Warehouses, with previous experience of using SQL, JIRA and Confluence.",Brisbane QLD,Talenza,
144,Data Analyst (Brisbane),"At Aginic, a group of the country’s brightest data analysts, engineers, delivery coaches, designers, and cloud technicians blend their technical skills with a…",Brisbane QLD,Aginic,"$60,000 - $70,000 a year"
145,Data Analyst,"Skill and passion for reporting and data analytics.You will need to precisely analyse, investigate and mitigate inconsistencies & variances in data across…",Brisbane QLD,Talenza,
146,Process Engineer/ Metallurgist,"The Interlate Operations team consists of operators, engineers, data scientists and systems architects, who work as a cohesive team to deliver services ranging…",Milton QLD,Interlate,
147,Business Analyst - Brisbane,"Proficient in the use of MS Office applications, databases and data visualisation tools.Taking employment back to basics.",Brisbane QLD,Johnathan Thurston Academy,
148,Monitoring Analyst,Working constantly on producing data and insights which show scope of improvements in monitoring system.Must have valid working rights.,Brisbane QLD,Carecone,
149,Forensic Analyst - Forensic Technology,Computer Forensic Analysis in Opentext “Encase” and NUIX (data processing software).Forensic acquisition of data using best practice under “Guidelines for the…,Brisbane QLD,Vincents Chartered Accountants,
150,Product Analyst - APAC,"Business analyst experience is a strong advantage for the position.Verisk Risk Rating (VRR), a Verisk Analytics company, has almost 20 years’ experience of…",Brisbane QLD,ISO,
151,Senior Financial Crimes Analyst - Newstead,"Defining data element requirements including history, timeliness and frequency of data.Formalising and implementing data verification and testing methods for…",Newstead QLD,Johnathan Thurston Academy,
152,Commercial Analyst,"Comfortable with working with large data sets.In addition, you will be business partnering with the global sales team to provide commercial support that is…",Brisbane QLD,Topdeck Travel Ltd,
153,Data Engineer Job in Brisbane,"As a Data Engineer, you will be required to source, integrate and make data available for use by business intelligence analysts, data scientists, and other data…",Brisbane QLD,Synergy Placements,
154,SQL Data Analyst,Experience executing on relevant packages to check data and migrate data to/from data staging tables in SQL.Analyse data from the existing systems to determine…,Brisbane QLD,Clicks IT Recruitment,
155,Data/ Reporting Analyst,"Seeking an experienced Data/ Reporting Analyst with experience undertaking data analysis, defining data problems and solutions and developing data analytics…",Brisbane QLD,Interpro,
156,Data Engineer,"As a Data Engineer, you will be required to source, integrate and make data available for use by business intelligence analysts, data scientists, and other data…",Brisbane QLD,Synergy Placements Pty Ltd,
157,Expressions of Interest - Lizard - Behaviour Therapist - Bri...,"This includes both structured and naturalistic teaching, collecting, recording and graphing all data as advised by the Program Supervisor and implementing any…",Brisbane QLD,Nextt Health,
158,Lizard - Behaviour Therapist - Brisbane South,"This includes both structured and naturalistic teaching, collecting, recording and graphing all data as advised by the Program Supervisor and implementing any…",Brisbane QLD,Nextt Health,
159,Data Engineer,Experience extracting and combining data from various heterogenous data sources to establish enterprise wide data consumption models.,Brisbane QLD,Eden Ritchie Recruitment,
160,Assurance Analyst,"Undertake preliminary reviews of client data to identify issues for further investigation.YOUR YEARS AT MAZARS, YEARS THAT COUNT.",Brisbane QLD,Mazars Australia,
161,Senior Data Analyst,"The Senior Data Analyst will support the team to improve data quality, build dashboards, perform analytics and data interpretation to inform business decisions.",Brisbane QLD,Talent Street,
162,Product Support Specialist - would suit a junior test analys...,"Your role will focus on supporting the manufactured product and you will work closely with product design engineers, software developers and business analysts.",Brisbane QLD,JJP Talent Solutions,
163,Senior Consultant,"We combine a team of experts that spans data scientists, actuaries, statisticians, business analysts, strategy consultants, engineers, technologists,…",Brisbane QLD,Quantium,
164,IT Internship,"Integrate university learning in business analytics, business programming, data analysis, enterprise systems, network security as well as strengthening…",Brisbane QLD,VICNA,
165,Consultant,"Knowledge and experience analysing data (customer, transaction or sales data) in an FMCG context.We combine a team of experts that spans data scientists,…",Brisbane QLD,Quantium,
166,Technical Business Analyst,"Our client, a financial and insurance services specialist, requires the services of a Technical Business Analyst to join the Telephony Project team.",Brisbane QLD,Citadel Group,
167,Senior Project Manager,"Our passion for integrating leading edge technologies and expertise coupled with our relentless commitment to excellence, has become the hallmark of our team of…",Brisbane QLD,"Aethon Aerial Solutions, Inc.",
168,Senior Business Analyst,I am partnering with a leading Financial Services organisation with an Australia wide presence that are actively looking to add to their pool of Business…,Brisbane QLD,Talenza,
