,Title,Summary,Location,Company,Salary
68,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
69,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
70,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
71,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
72,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
73,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
74,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
75,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
76,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
77,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
78,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
79,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
80,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
81,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
82,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
83,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
84,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
85,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
86,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
87,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
88,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
89,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
90,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
91,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
92,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
93,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
94,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
95,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
96,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
97,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
98,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
99,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
100,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
101,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
102,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
103,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
104,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
105,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
106,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
107,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
108,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
109,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
110,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
111,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
112,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
113,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
114,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
115,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
116,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
117,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
118,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
119,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
120,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
121,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
122,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
123,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
124,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
125,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
126,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
127,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
128,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
129,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
130,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
131,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
132,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
133,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
134,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
135,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
136,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
137,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
138,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
139,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
140,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
141,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
142,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
143,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
144,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
145,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
146,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
147,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
148,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
149,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
150,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
151,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
152,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
153,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
154,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
155,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
156,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
157,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
158,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
159,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
160,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
161,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
162,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
163,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
164,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
165,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
166,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
167,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
168,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
169,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
170,Data Analyst,"As a junior member of the PH&N Institutional Communications team, based in Vancouver, this Data Analyst is responsible for compiling and delivering data for…","Vancouver, BC",RBC,
171,Associate Data Analyst,Our Next Associate Data Analyst needs:What a QV Associate Data Analyst does at EA:As an Associate Data Analyst within the Sports QV Data Analytics Team you…,"Vancouver, BC",Electronic Arts,
172,CLK STN 11R - Records and Data Analyst,An eligibility list may be established.Bring your strong administrative experience and superior organizational skills to this challenging position.,"Vancouver, BC",BC Public Service,
173,Data/Business Analyst,"Review data quality and data definitions, and perform data cleansing and data management tasks.Work with the data engineering team to develop ETL solutions and…","Vancouver, BC",Electronic Arts,
174,Data Scientist Intern,"Experience with API development, data modeling, data warehousing preferred.Stitching, transforming, and cleaning various forms of data, including transactional…","Burnaby, BC",Best Buy Canada,
175,Supply Chain Data Analyst,"New tools and processes created that save time, improve accuracy, increase consistency, and support more data driven decision making.","Vancouver, BC",Mountain Equipment Co-op,
176,Data Engineer,"Creating data tools to assist our in-house analysts and data scientists, and optimizing our different technology products.What you’ll need to succeed:","Burnaby, BC",Best Buy Canada,
177,Data Engineer,"You’ll be part of a central studio data science team, working with our data scientists and analysts to architect data pipelines, support machine learning…","Vancouver, BC",Electronic Arts,
178,Senior Data Analyst,Our Next Senior Data Analyst needs:Outgoing champion for data quality; crafting data quality policies and data governance.,"Vancouver, BC",Electronic Arts,
179,Game Analyst,Minimum 2 years experience as a data analyst and preferably with free-to-play social mobile games.As a Game Analyst your responsibility is to find actionable…,"Vancouver, BC",Hothead Games,
